City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Auki,SB,78.64,scattered clouds,-8.7676,160.7034,Auki
3,Nishihara,JP,75.25,broken clouds,26.1842,127.7558,Naha
5,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Humansdorp
6,Cape Town,ZA,64.81,few clouds,-33.9258,18.4232,Cape Town
8,Carnarvon,AU,64.47,scattered clouds,-24.8667,113.6333,Carnarvon
9,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,Petermann
12,Meulaboh,ID,75.36,very heavy rain,4.1363,96.1285,Meulaboh
15,Rikitea,PF,75.18,overcast clouds,-23.1203,-134.9692,Rikitea
19,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Monrovia
23,Geraldton,AU,61.21,few clouds,-28.7667,114.6,Geraldton
26,Chato,TZ,71.29,overcast clouds,-2.6378,31.7669,Chato
29,Tiznit,MA,66.24,clear sky,29.5833,-9.5,Ouijjane
32,Hilo,US,75.27,clear sky,19.7297,-155.09,Hilo
34,East London,ZA,68.94,scattered clouds,-33.0153,27.9116,East London
37,Argelia,CO,74.84,light rain,2.2556,-77.2488,Argelia
42,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Horta
44,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Vila Velha
47,Castro,BR,76.82,broken clouds,-24.7911,-50.0119,Castro
50,Mahanoro,MG,73.51,light rain,-19.9,48.8,Mahanoro
53,Coffs Harbour,AU,66.16,scattered clouds,-30.3,153.1333,Coffs Harbour
55,Porto Belo,BR,75.63,overcast clouds,-27.1578,-48.5531,Bombinhas
56,Saldanha,ZA,64.45,overcast clouds,-33.0117,17.9442,Saldanha
63,Kapaa,US,75.52,light rain,22.0752,-159.319,Kapaʻa
64,Morgan City,US,64.0,few clouds,29.6994,-91.2068,Morgan City
65,Mahasamund,IN,71.87,clear sky,21.1,82.1,Mahasamund
66,Pearl City,US,76.82,scattered clouds,21.3972,-157.9733,Pearl City
68,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Padang
73,Nalut,LY,77.45,overcast clouds,30.3333,10.85,
74,Totness,SR,78.67,overcast clouds,5.8833,-56.3167,Totness
75,Ponta Do Sol,PT,71.13,few clouds,32.6667,-17.1,Ribeira Brava
77,Port Alfred,ZA,63.36,overcast clouds,-33.5906,26.891,Port Alfred
78,Usoke,TZ,79.34,overcast clouds,-5.1667,32.35,Ussoke Mlimani
81,Bredasdorp,ZA,61.92,overcast clouds,-34.5322,20.0403,Bredasdorp
82,Vaini,TO,75.36,few clouds,-21.2,-175.2,Nukuhetulu
84,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Souillac
85,Naze,JP,66.96,overcast clouds,28.3667,129.4833,Amami
88,Bandundu,CD,76.3,light rain,-3.3167,17.3667,Bandundu
92,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Puerto Ayora
96,Concepcion Del Uruguay,AR,72.99,scattered clouds,-32.4825,-58.2372,Concepción del Uruguay
97,Luderitz,,65.52,overcast clouds,-26.6481,15.1594,Luderitz
99,Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Coyhaique
106,Lagoa,PT,68.23,overcast clouds,39.05,-27.9833,Santa Cruz Da Graciosa
107,Katsuura,JP,60.12,light rain,35.1333,140.3,Katsuura
110,Mbandaka,CD,73.96,moderate rain,0.0487,18.2603,Mbandaka
111,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Avarua District
112,Pisco,PE,70.02,clear sky,-13.7,-76.2167,Pisco
113,Pringsewu,ID,74.53,overcast clouds,-5.3582,104.9744,Margakaja
114,Saint George,US,70.54,clear sky,37.1041,-113.5841,St. George
116,Fare,PF,78.98,light rain,-16.7,-151.0167,Fare
119,Atuona,PF,77.99,scattered clouds,-9.8,-139.0333,Atuona
123,Kieta,PG,79.34,broken clouds,-6.2167,155.6333,Kieta
129,Biak,ID,76.71,broken clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
130,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Saint-Philippe
133,Wanning,CN,75.34,few clouds,18.8003,110.3967,Wanning
134,Saurimo,AO,76.15,overcast clouds,-9.6608,20.3916,Saurimo
135,Victoria,HK,79.32,light rain,22.2855,114.1577,Hong Kong
136,Kalmunai,LK,79.34,overcast clouds,7.4167,81.8167,Kalmunai
138,Seguin,US,64.8,clear sky,29.5688,-97.9647,Seguin
146,Alice Springs,AU,69.35,broken clouds,-23.7,133.8833,Alice Springs
147,Soe,ID,69.58,scattered clouds,-9.8607,124.284,Soe
150,Chuy,UY,66.81,overcast clouds,-33.6971,-53.4616,Chuy
156,Cidreira,BR,70.61,overcast clouds,-30.1811,-50.2056,CIDREIRA
163,Siyabuswa,ZA,79.88,light rain,-25.1132,29.0445,Siyabuswa
165,Saint-Paul,RE,77.11,clear sky,-21.0096,55.2707,Saint-Paul
167,Paso De Los Toros,UY,68.34,few clouds,-32.8167,-56.5167,Paso de los Toros
168,Hermanus,ZA,63.9,broken clouds,-34.4187,19.2345,Hermanus
170,San Juan,AR,72.3,clear sky,-31.5375,-68.5364,San Juan
172,Gat,IL,77.68,scattered clouds,31.61,34.7642,Kiryat Gat
173,Rabaul,PG,78.64,broken clouds,-4.1967,152.1721,Rabaul
176,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Arraial do Cabo
