City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Auki,SB,-8.7676,160.7034,78.64,79,27,4.12,scattered clouds,2021-11-06 16:38:02
1,Georgetown,MY,5.4112,100.3354,80.53,89,40,1.99,scattered clouds,2021-11-06 16:38:03
2,Aras,ES,42.5617,-2.356,45.03,70,14,10.4,few clouds,2021-11-06 16:38:03
3,Nishihara,JP,26.1842,127.7558,75.25,83,75,10.36,broken clouds,2021-11-06 16:38:03
4,La Ronge,CA,55.1001,-105.2842,37.65,93,90,3.44,light intensity drizzle,2021-11-06 16:38:04
5,Kruisfontein,ZA,-34.0033,24.7314,62.89,69,96,4.52,overcast clouds,2021-11-06 16:38:04
6,Cape Town,ZA,-33.9258,18.4232,64.81,57,20,3.0,few clouds,2021-11-06 16:34:45
7,Taoudenni,ML,22.6783,-3.9836,87.94,13,0,7.36,clear sky,2021-11-06 16:38:05
8,Carnarvon,AU,-24.8667,113.6333,64.47,77,40,21.85,scattered clouds,2021-11-06 16:36:51
9,Yulara,AU,-25.2406,130.9889,69.64,83,90,3.44,overcast clouds,2021-11-06 16:38:05
10,Klaksvik,FO,62.2266,-6.589,49.12,98,100,27.09,overcast clouds,2021-11-06 16:38:06
11,Narsaq,GL,60.9167,-46.05,32.22,90,100,9.84,overcast clouds,2021-11-06 16:38:06
12,Meulaboh,ID,4.1363,96.1285,75.36,94,100,4.88,very heavy rain,2021-11-06 16:38:06
13,Davlekanovo,RU,54.2215,55.0343,36.95,28,100,22.01,light rain,2021-11-06 16:38:07
14,Ushuaia,AR,-54.8,-68.3,49.66,50,75,16.11,broken clouds,2021-11-06 16:37:47
15,Rikitea,PF,-23.1203,-134.9692,75.18,81,100,16.49,overcast clouds,2021-11-06 16:38:07
16,Tasiilaq,GL,65.6145,-37.6368,26.76,70,76,7.36,broken clouds,2021-11-06 16:38:08
17,Machiques,VE,10.0644,-72.545,87.85,61,36,4.32,scattered clouds,2021-11-06 16:38:08
18,Busselton,AU,-33.65,115.3333,46.09,82,0,10.04,clear sky,2021-11-06 16:38:08
19,Monrovia,LR,6.3005,-10.7969,76.77,74,39,9.37,light rain,2021-11-06 16:38:09
20,Hamilton,US,39.1834,-84.5333,55.98,52,1,1.01,clear sky,2021-11-06 16:38:06
21,Jamestown,US,42.097,-79.2353,48.52,51,1,5.99,clear sky,2021-11-06 16:36:14
22,Punta Arenas,CL,-53.15,-70.9167,53.71,62,75,6.91,broken clouds,2021-11-06 16:38:09
23,Geraldton,AU,-28.7667,114.6,61.21,72,23,16.11,few clouds,2021-11-06 16:38:10
24,Atar,MR,20.5169,-13.0499,91.02,16,0,9.1,clear sky,2021-11-06 16:38:10
25,Albany,US,42.6001,-73.9662,50.31,62,16,1.97,few clouds,2021-11-06 16:34:47
26,Chato,TZ,-2.6378,31.7669,71.29,73,100,4.36,overcast clouds,2021-11-06 16:38:11
27,Caravelas,BR,-17.7125,-39.2481,80.38,62,82,9.48,broken clouds,2021-11-06 16:38:11
28,Kodiak,US,57.79,-152.4072,33.31,69,75,14.97,broken clouds,2021-11-06 16:38:11
29,Tiznit,MA,29.5833,-9.5,66.24,46,0,7.0,clear sky,2021-11-06 16:38:12
30,Varnamo,SE,57.186,14.04,50.76,94,100,5.01,overcast clouds,2021-11-06 16:38:12
31,Las Varas,MX,21.1667,-105.1667,81.59,59,1,3.53,clear sky,2021-11-06 16:38:13
32,Hilo,US,19.7297,-155.09,75.27,72,1,8.05,clear sky,2021-11-06 16:38:13
33,Hobart,AU,-42.8794,147.3294,57.06,70,90,3.0,overcast clouds,2021-11-06 16:38:14
34,East London,ZA,-33.0153,27.9116,68.94,68,40,9.22,scattered clouds,2021-11-06 16:38:14
35,Kavieng,PG,-2.5744,150.7967,83.23,74,74,16.08,broken clouds,2021-11-06 16:38:14
36,Avera,US,33.194,-82.5271,50.76,49,100,14.99,overcast clouds,2021-11-06 16:38:15
37,Argelia,CO,2.2556,-77.2488,74.84,78,97,0.6,light rain,2021-11-06 16:38:15
38,Portland,US,45.5234,-122.6762,50.09,89,75,1.99,broken clouds,2021-11-06 16:35:35
39,Leningradskiy,RU,69.3833,178.4167,-12.28,88,2,5.41,clear sky,2021-11-06 16:38:15
40,Prince Rupert,CA,54.3161,-130.3201,38.89,87,100,8.05,light rain,2021-11-06 16:38:16
41,Itupiranga,BR,-5.1347,-49.3267,82.72,73,99,3.27,moderate rain,2021-11-06 16:38:16
42,Ribeira Grande,PT,38.5167,-28.7,72.0,83,40,24.16,scattered clouds,2021-11-06 16:38:16
43,Lensk,RU,60.7253,114.9278,18.99,93,100,8.88,light snow,2021-11-06 16:38:17
44,Vila Velha,BR,-20.3297,-40.2925,78.75,69,75,5.99,broken clouds,2021-11-06 16:38:17
45,Mataura,NZ,-46.1927,168.8643,50.49,98,66,0.89,broken clouds,2021-11-06 16:38:17
46,Nikolskoye,RU,59.7035,30.7861,39.87,90,63,6.26,broken clouds,2021-11-06 16:38:18
47,Castro,BR,-24.7911,-50.0119,76.82,69,54,4.47,broken clouds,2021-11-06 16:37:42
48,Dovolnoye,RU,54.4958,79.6671,28.65,95,100,12.77,overcast clouds,2021-11-06 16:38:18
49,Trairi,BR,-3.2778,-39.2689,88.3,58,45,12.21,scattered clouds,2021-11-06 16:37:25
50,Mahanoro,MG,-19.9,48.8,73.51,89,40,1.9,light rain,2021-11-06 16:38:19
51,Waddan,LY,29.1614,16.139,80.17,20,7,11.21,clear sky,2021-11-06 16:38:19
52,Boa Vista,BR,2.8197,-60.6733,89.58,51,75,10.36,broken clouds,2021-11-06 16:34:16
53,Coffs Harbour,AU,-30.3,153.1333,66.16,85,40,10.36,scattered clouds,2021-11-06 16:38:20
54,Pochutla,MX,15.7432,-96.4661,85.82,53,79,4.99,broken clouds,2021-11-06 16:38:20
55,Porto Belo,BR,-27.1578,-48.5531,75.63,80,98,5.08,overcast clouds,2021-11-06 16:38:20
56,Saldanha,ZA,-33.0117,17.9442,64.45,69,99,17.83,overcast clouds,2021-11-06 16:38:21
57,Bluff,NZ,-46.6,168.3333,50.81,86,78,4.03,broken clouds,2021-11-06 16:38:21
58,Kaitangata,NZ,-46.2817,169.8464,45.93,80,81,3.27,broken clouds,2021-11-06 16:38:22
59,Tiksi,RU,71.6872,128.8694,-4.72,93,72,12.57,broken clouds,2021-11-06 16:38:22
